_ID,TimeSt,Country,Province,City,Latitude,Longitude,POIID,minDistance
5295794,2017-06-21 18:54:53.353,CA,AB,Calgary,51.08230,-113.95780,POI1,275.92725690907577
5000061,2017-06-21 16:34:09.177,CA,AB,Calgary,51.08760,-114.02140,POI1,275.8785791045632
4909310,2017-06-21 17:28:23.100,CA,AB,Calgary,51.08760,-114.02140,POI1,275.8785791045632
5464285,2017-06-21 16:10:07.360,CA,AB,Calgary,51.12290,-114.18900,POI1,273.7412036307
5243846,2017-06-21 09:51:16.960,CA,AB,Calgary,51.13152,-114.20930,POI1,273.0412428224542
5308824,2017-06-21 13:55:44.063,CA,AB,Calgary,51.13870,-114.20150,POI1,272.1598572556388
4765912,2017-06-21 08:16:23.900,CA,AB,Cochrane,51.18150,-114.46800,POI1,271.344145165407
4947215,2017-06-21 12:31:04.373,CA,AB,Cochrane,51.19070,-114.46220,POI1,270.25383145861736
4951102,2017-06-21 11:31:19.563,CA,AB,Red Deer County,52.23950,-113.70300,POI1,146.0696112734049
5490499,2017-06-21 16:12:17.880,CA,AB,Red Deer,52.28950,-113.81400,POI1,141.5016088878148
5293055,2017-06-21 05:54:45.940,CA,AB,Ponoka,52.67680,-113.58150,POI1,96.91068272470079
5516716,2017-06-21 11:14:50.983,CA,AB,Ponoka,52.67680,-113.58150,POI1,96.91068272470079
5098756,2017-06-21 19:41:00.773,CA,AB,Ponoka,52.67680,-113.58150,POI1,96.91068272470079
5051780,2017-06-21 11:37:32.710,CA,AB,Leduc,53.26680,-113.55200,POI1,31.383063432028127
5136594,2017-06-21 03:43:28.387,CA,AB,Edmonton,53.41040,-113.51700,POI1,15.242508408367534
5131223,2017-06-21 15:43:03.610,CA,AB,Edmonton,53.44160,-113.41570,POI1,12.52021543593966
4834837,2017-06-21 20:21:53.697,CA,AB,Edmonton,53.45640,-113.52100,POI1,10.25375126348721
4639235,2017-06-21 03:06:55.860,CA,AB,Edmonton,53.46530,-113.38600,POI1,11.155115191947143
4633388,2017-06-21 00:06:24.937,CA,AB,Edmonton,53.49913,-113.50037,POI1,5.320682050438572
4893415,2017-06-21 02:26:52.117,CA,AB,Edmonton,53.50731,-113.58595,POI1,7.911269286904954
5026343,2017-06-21 03:35:39.107,CA,AB,Edmonton,53.50748,-113.68446,POI1,13.826467733709416
5451306,2017-06-21 05:08:54.947,CA,AB,Edmonton,53.51290,-113.62300,POI1,9.800827771471797
4534008,2017-06-21 07:00:53.840,CA,AB,Sherwood Park,53.51803,-113.29858,POI1,12.762785359338489
5117272,2017-06-21 04:42:06.600,CA,AB,Edmonton,53.53880,-113.49400,POI1,0.9848660509283852
4883758,2017-06-21 21:26:03.670,CA,AB,Edmonton,53.54799,-113.59434,POI1,7.180475873563386
5225016,2017-06-21 13:49:52.117,CA,AB,Edmonton,53.54813,-113.59428,POI1,7.176957156046215
4838186,2017-06-21 06:22:04.687,CA,AB,Edmonton,53.55150,-113.49200,POI1,0.7234268484548451
5038085,2017-06-21 02:36:38.443,CA,AB,Spruce Grove,53.55330,-113.89500,POI1,27.05769673821161
4638793,2017-06-21 03:06:49.587,CA,AB,Edmonton,53.58700,-113.44100,POI1,5.418547293523865
4823301,2017-06-21 09:20:57.097,CA,AB,Edmonton,53.59255,-113.49200,POI1,5.175748922542959
5442765,2017-06-21 06:07:28.683,CA,AB,Edmonton,53.59719,-113.40051,POI1,7.993438409489898
4866761,2017-06-21 10:24:32.670,CA,AB,Edmonton,53.61340,-113.54100,POI1,8.3213560104521
4565044,2017-06-21 22:01:52.263,CA,AB,Edmonton,53.62162,-113.49452,POI1,8.412652381574937
5132190,2017-06-21 14:43:08.157,CA,AB,Edmonton,53.62880,-113.47600,POI1,9.213697251218397
